Date,Start (ET),Visitor/Neutral,AwayPTS,Home/Neutral,HomePTS, , ,Attend.,Notes,HomeWin,AwayWin
2009-11-07,0 days 08:00:00.000000000,Charlotte Bobcats,90,Chicago Bulls,93,Box Score,,"21,108",,1,0
2009-11-07,0 days 08:30:00.000000000,Toronto Raptors,101,Dallas Mavericks,129,Box Score,,"19,977",,1,0
2009-11-07,0 days 08:30:00.000000000,New York Knicks,87,Milwaukee Bucks,102,Box Score,,"15,486",,1,0
2009-11-07,0 days 09:00:00.000000000,Sacramento Kings,104,Utah Jazz,99,Box Score,,"18,825",,0,1
2009-11-07,0 days 10:30:00.000000000,Memphis Grizzlies,110,Los Angeles Clippers,113,Box Score,,"15,399",,1,0
2009-11-08,0 days 01:00:00.000000000,Philadelphia 76ers,81,Detroit Pistons,88,Box Score,,"17,187",,1,0
2009-11-08,0 days 01:00:00.000000000,Phoenix Suns,102,Washington Wizards,90,Box Score,,"14,143",,0,1
2009-11-08,0 days 07:00:00.000000000,Orlando Magic,74,Oklahoma City Thunder,102,Box Score,,"18,203",,1,0
2009-11-08,0 days 09:00:00.000000000,Minnesota Timberwolves,93,Portland Trail Blazers,116,Box Score,,"20,306",,1,0
2009-11-08,0 days 09:00:00.000000000,Golden State Warriors,107,Sacramento Kings,120,Box Score,,"10,760",,1,0
2009-11-08,0 days 09:30:00.000000000,New Orleans Hornets,88,Los Angeles Lakers,104,Box Score,,"18,997",,1,0
2009-11-09,0 days 07:00:00.000000000,Phoenix Suns,119,Philadelphia 76ers,115,Box Score,,"10,205",,0,1
2009-11-09,0 days 07:30:00.000000000,Utah Jazz,95,New York Knicks,93,Box Score,,"19,355",,0,1
2009-11-09,0 days 08:30:00.000000000,Toronto Raptors,124,San Antonio Spurs,131,Box Score,,"17,714",,1,0
2009-11-09,0 days 10:30:00.000000000,Minnesota Timberwolves,105,Golden State Warriors,146,Box Score,,"15,468",,1,0
2009-11-09,0 days 10:30:00.000000000,New Orleans Hornets,112,Los Angeles Clippers,84,Box Score,,"14,760",,0,1
2009-11-10,0 days 07:00:00.000000000,Orlando Magic,93,Charlotte Bobcats,81,Box Score,,"13,415",,0,1
2009-11-10,0 days 07:30:00.000000000,Washington Wizards,76,Miami Heat,90,Box Score,,"15,054",,1,0
2009-11-10,0 days 08:00:00.000000000,Denver Nuggets,90,Chicago Bulls,89,Box Score,,"21,409",,0,1
2009-11-10,0 days 08:00:00.000000000,Portland Trail Blazers,93,Memphis Grizzlies,79,Box Score,,"10,589",,0,1
2009-11-10,0 days 08:30:00.000000000,Houston Rockets,103,Dallas Mavericks,121,Box Score,,"19,720",,1,0
2009-11-10,0 days 10:00:00.000000000,Oklahoma City Thunder,98,Sacramento Kings,101,Box Score,,"10,523",,1,0
2009-11-11,0 days 07:00:00.000000000,Golden State Warriors,94,Indiana Pacers,108,Box Score,,"10,682",,1,0
2009-11-11,0 days 07:00:00.000000000,Chicago Bulls,89,Toronto Raptors,99,Box Score,,"16,310",,1,0
2009-11-11,0 days 07:30:00.000000000,Utah Jazz,86,Boston Celtics,105,Box Score,,"18,624",,1,0
2009-11-11,0 days 07:30:00.000000000,Charlotte Bobcats,75,Detroit Pistons,98,Box Score,,"15,417",,1,0
2009-11-11,0 days 07:30:00.000000000,Philadelphia 76ers,82,New Jersey Nets,79,Box Score,,"10,714",,0,1
2009-11-11,0 days 07:30:00.000000000,Atlanta Hawks,114,New York Knicks,101,Box Score,,"19,699",,0,1
2009-11-11,0 days 08:00:00.000000000,Denver Nuggets,102,Milwaukee Bucks,108,Box Score,,"12,987",,1,0
2009-11-11,0 days 08:00:00.000000000,Portland Trail Blazers,107,Minnesota Timberwolves,84,Box Score,,"13,555",,0,1
2009-11-11,0 days 08:00:00.000000000,Cleveland Cavaliers,102,Orlando Magic,93,Box Score,,"17,461",,0,1
2009-11-11,0 days 08:30:00.000000000,Memphis Grizzlies,79,Houston Rockets,104,Box Score,,"17,220",,1,0
2009-11-11,0 days 08:30:00.000000000,Dallas Mavericks,83,San Antonio Spurs,92,Box Score,,"18,581",,1,0
2009-11-11,0 days 10:30:00.000000000,Oklahoma City Thunder,83,Los Angeles Clippers,79,Box Score,,"14,248",,0,1
2009-11-11,0 days 10:30:00.000000000,New Orleans Hornets,104,Phoenix Suns,124,Box Score,,"16,517",,1,0
2009-11-12,0 days 08:00:00.000000000,Cleveland Cavaliers,111,Miami Heat,104,Box Score,,"19,600",,0,1
2009-11-12,0 days 10:30:00.000000000,Phoenix Suns,102,Los Angeles Lakers,121,Box Score,,"18,997",,1,0
2009-11-13,0 days 07:00:00.000000000,New Jersey Nets,72,Orlando Magic,88,Box Score,,"17,461",,1,0
2009-11-13,0 days 07:00:00.000000000,Utah Jazz,112,Philadelphia 76ers,90,Box Score,,"10,738",,0,1
2009-11-13,0 days 07:30:00.000000000,Golden State Warriors,121,New York Knicks,107,Box Score,,"19,763",,0,1
2009-11-13,0 days 08:00:00.000000000,Atlanta Hawks,97,Boston Celtics,86,Box Score,,"18,624",,0,1
2009-11-13,0 days 08:00:00.000000000,Dallas Mavericks,89,Minnesota Timberwolves,77,Box Score,,"12,372",,0,1
2009-11-13,0 days 08:00:00.000000000,Portland Trail Blazers,86,New Orleans Hornets,78,Box Score,,"14,742",,0,1
2009-11-13,0 days 10:00:00.000000000,Houston Rockets,100,Sacramento Kings,109,Box Score,,"11,762",,1,0
2009-11-13,0 days 10:30:00.000000000,Los Angeles Lakers,79,Denver Nuggets,105,Box Score,,"19,141",,1,0
2009-11-13,0 days 10:30:00.000000000,Toronto Raptors,104,Los Angeles Clippers,89,Box Score,,"15,615",,0,1
2009-11-14,0 days 07:00:00.000000000,New Orleans Hornets,98,Atlanta Hawks,121,Box Score,,"18,572",,1,0
2009-11-14,0 days 07:00:00.000000000,Portland Trail Blazers,80,Charlotte Bobcats,74,Box Score,,"15,872",,0,1
2009-11-14,0 days 07:00:00.000000000,Boston Celtics,104,Indiana Pacers,113,Box Score,,"18,165",,1,0
2009-11-14,0 days 07:00:00.000000000,Detroit Pistons,106,Washington Wizards,103,Box Score,,"20,173",,0,1
2009-11-14,0 days 07:30:00.000000000,Utah Jazz,103,Cleveland Cavaliers,107,Box Score,,"20,562",,1,0
2009-11-14,0 days 07:30:00.000000000,New Jersey Nets,80,Miami Heat,81,Box Score,,"17,124",,1,0
2009-11-14,0 days 08:00:00.000000000,Philadelphia 76ers,88,Chicago Bulls,94,Box Score,,"21,837",,1,0
2009-11-14,0 days 08:00:00.000000000,Minnesota Timberwolves,87,Memphis Grizzlies,97,Box Score,,"10,019",,1,0
2009-11-14,0 days 08:30:00.000000000,Golden State Warriors,125,Milwaukee Bucks,129,Box Score,,"14,978",,1,0
2009-11-14,0 days 08:30:00.000000000,Oklahoma City Thunder,101,San Antonio Spurs,98,Box Score,,"17,947",,0,1
2009-11-15,0 days 06:00:00.000000000,Dallas Mavericks,95,Detroit Pistons,90,Box Score,,"18,215",,0,1
2009-11-15,0 days 07:00:00.000000000,Los Angeles Clippers,101,Oklahoma City Thunder,93,Box Score,,"17,715",,0,1
2009-11-15,0 days 08:00:00.000000000,Toronto Raptors,100,Phoenix Suns,101,Box Score,,"16,605",,1,0
2009-11-15,0 days 09:30:00.000000000,Houston Rockets,101,Los Angeles Lakers,91,Box Score,,"18,997",,0,1
2009-11-16,0 days 07:00:00.000000000,Portland Trail Blazers,95,Atlanta Hawks,99,Box Score,OT,"12,977",,1,0
2009-11-16,0 days 07:00:00.000000000,Charlotte Bobcats,91,Orlando Magic,97,Box Score,,"17,461",,1,0
2009-11-16,0 days 08:00:00.000000000,Dallas Mavericks,115,Milwaukee Bucks,113,Box Score,OT,"13,683",,0,1
2009-11-17,0 days 07:00:00.000000000,Golden State Warriors,108,Cleveland Cavaliers,114,Box Score,,"20,562",,1,0
2009-11-17,0 days 07:30:00.000000000,Oklahoma City Thunder,100,Miami Heat,87,Box Score,,"14,443",,0,1
2009-11-17,0 days 07:30:00.000000000,Indiana Pacers,91,New Jersey Nets,83,Box Score,,"11,332",,0,1
2009-11-17,0 days 08:00:00.000000000,Los Angeles Clippers,102,New Orleans Hornets,110,Box Score,,"13,116",,1,0
2009-11-17,0 days 08:30:00.000000000,Phoenix Suns,111,Houston Rockets,105,Box Score,,"16,396",,0,1
2009-11-17,0 days 09:00:00.000000000,Toronto Raptors,112,Denver Nuggets,130,Box Score,,"16,446",,1,0
